Id;Response Time
1,575
2,252
3,691
4,408
5,553
6,136
7,1177
8,498
9,350
10,496
11,335
12,136
13,265
14,285
15,226
16,367
17,197
18,315
19,291
20,382
21,311
22,328
23,427
24,133
25,439
26,254
27,398
28,160
29,1588
30,698
31,165
32,1034
33,390
34,190
35,602
36,396
37,203
38,370
39,676
40,403
41,674
42,578
43,326
44,557
45,116
46,627
47,997
48,121
49,751
50,243
51,354
52,293
53,302
54,199
55,300
56,491
57,495
58,472
59,527
60,842
61,398
62,316
63,642
64,139
65,656
66,270
67,202
68,513
69,90
70,732
71,588
72,506
73,364
74,537
75,338
76,342
77,325
78,672
79,135
80,159
81,930
82,661
83,626
84,784
85,623
86,247
87,355
88,579
89,230
90,276
91,233
92,192
93,421
94,232
95,143
96,132
97,154
98,221
99,286
100,273
